Timestamp,Input,Output
20130101 08:02:25,742000,616000
20130101 08:07:25,880000,809000
20130101 08:12:26,939000,856000
20130101 08:17:26,862000,910000
20130101 08:22:26,841000,927000
20130101 08:27:26,965000,1016000
20130101 08:32:27,1072000,1110000
20130101 08:37:26,1387000,1310000
20130101 08:42:27,1111000,1266000
20130101 08:47:28,1178000,1289000
20130101 08:52:28,1226000,1218000
20130101 08:57:29,1199000,1412000
20130101 09:02:29,1105000,1370000
20130101 09:07:29,1264000,1433000
20130101 09:12:29,1108000,1460000
20130101 09:17:29,1285000,1607000
20130101 09:22:30,1451000,1651000
20130101 09:27:30,1299000,1550000
20130101 09:32:30,1548000,1585000
20130101 09:37:30,1718000,1646000
20130101 09:42:31,1465000,1743000
20130101 09:47:31,1647000,1827000
20130101 09:52:31,1459000,1789000
20130101 09:57:32,1481000,1771000
20130101 10:02:32,1515000,1692000
20130101 10:07:32,1680000,1832000
20130101 10:12:32,1625000,1904000
20130101 10:17:33,1573000,1777000
20130101 10:22:33,1426000,1766000
20130101 10:27:34,1542000,1932000
20130101 10:32:34,1502000,1753000
20130101 10:37:34,1451000,1835000
20130101 10:42:34,1425000,1720000
20130101 10:47:34,1363000,1759000
20130101 10:52:35,1747000,1733000
20130101 10:57:35,1719000,1813000
20130101 11:02:36,1418000,1771000
20130101 11:07:37,1500000,1863000
20130101 11:12:37,1631000,1803000
20130101 11:17:38,1373000,1810000
20130101 11:22:38,1304000,1660000
20130101 11:27:38,1658000,1765000
20130101 11:32:38,1474000,1711000
20130101 11:37:38,1476000,1795000
20130101 11:42:39,1251000,1634000
20130101 11:47:39,1091000,1653000
20130101 11:52:39,1197000,1530000
20130101 11:57:40,1300000,1490000
20130101 12:02:41,1217000,1432000
20130101 12:07:41,1208000,1437000
20130101 12:12:42,1335000,1517000
20130101 12:17:43,1066000,1376000
20130101 12:22:43,1158000,1341000
20130101 12:27:43,1080000,1308000
20130101 12:32:43,1623000,1383000
20130101 12:37:44,1100000,1401000
20130101 12:42:44,983000,1441000
20130101 12:47:44,1091000,1377000
20130101 12:52:45,1230000,1399000
20130101 12:57:46,1120000,1400000
20130101 13:02:46,1017000,1387000
20130101 13:07:47,1281000,1495000
20130101 13:12:47,1398000,1485000
20130101 13:17:47,1278000,1438000
20130101 13:22:47,1255000,1563000
20130101 13:27:47,1203000,1476000
20130101 13:32:47,1270000,1527000
20130101 13:37:48,1426000,1500000
20130101 13:42:48,1176000,1559000
20130101 13:47:49,1284000,1600000
20130101 13:52:49,1165000,1595000
20130101 13:57:50,1333000,1723000
20130101 14:02:50,1374000,1651000
20130101 14:07:50,1364000,1763000
20130101 14:12:50,1292000,1746000
20130101 14:17:51,1507000,1741000
20130101 14:22:51,1421000,1728000
20130101 14:27:51,1530000,1749000
20130101 14:32:51,1264000,1683000
20130101 14:37:51,1516000,1883000
20130101 14:42:52,1531000,2005000
20130101 14:47:52,1477000,1817000
20130101 14:52:53,1519000,1765000
20130101 14:57:54,1540000,1827000
20130101 15:02:54,1386000,1799000
20130101 15:07:54,1546000,1784000
20130101 15:12:54,1432000,1768000
20130101 15:17:54,1470000,1794000
20130101 15:22:54,1565000,1812000
20130101 15:27:54,1338000,1705000
20130101 15:32:54,1326000,1718000
20130101 15:37:55,1302000,1701000
20130101 15:42:56,1375000,1672000
20130101 15:47:56,1200000,1665000
20130101 15:52:57,1443000,1718000
20130101 15:57:57,1448000,1727000
20130101 16:02:57,1523000,1778000
20130101 16:07:57,1358000,1717000
20130101 16:12:59,1405000,1735000
20130101 16:17:59,1627000,1728000
20130101 16:22:59,1628000,1654000
20130101 16:28:00,1345000,1677000
20130101 16:33:00,1316000,1601000
20130101 16:38:00,1384000,1478000
20130101 16:43:02,1300000,1570000
20130101 16:48:02,1295000,1533000
20130101 16:53:03,1348000,1279000
20130101 16:58:03,1350000,1296000
20130101 17:03:04,1167000,1206000
20130101 17:08:11,990000,1122000
20130101 17:13:12,728000,900000
20130101 17:18:13,705000,751000
20130101 17:23:12,632000,764000
20130101 17:28:13,524000,637000
20130101 17:33:13,744000,580000
20130101 17:38:14,389000,462000
20130101 17:43:15,389000,353000
20130101 17:48:15,260000,229000
20130101 17:53:15,262000,259000
20130101 17:58:15,143000,140000
20130101 18:03:16,145000,137000
20130101 18:08:16,122000,109000
20130101 18:13:17,128000,114000
20130101 18:18:17,98000,105000
20130101 18:23:17,90000,112000
20130101 18:28:17,70000,110000
20130101 18:33:18,76000,79000
20130101 18:38:18,64000,88000
20130101 18:43:19,70000,77000
20130101 18:48:19,43000,52000
20130101 18:53:20,57000,71000
20130101 18:58:19,63000,104000
20130101 19:03:19,80000,131000
20130101 19:08:20,59000,137000
20130101 19:13:20,41000,71000
20130101 19:18:21,61000,80000
20130101 19:23:20,68000,64000
20130101 19:28:20,49000,52000
20130101 19:33:21,50000,51000
20130101 19:38:21,34000,50000
20130101 19:43:22,48000,74000
20130101 19:48:22,29000,39000
20130101 19:53:22,28000,36000
20130101 19:58:22,27000,41000
20130101 20:03:23,41000,42000
20130101 20:08:23,31000,30000
20130101 20:13:23,28000,38000
20130101 20:18:24,36000,40000
20130101 20:23:24,25000,45000
20130101 20:28:25,71000,75000
20130101 20:33:25,78000,117000
20130101 20:38:25,43000,102000
20130101 20:43:26,27000,57000
20130101 20:48:26,32000,45000
20130101 20:53:27,39000,30000
20130101 20:58:27,41000,40000
20130101 21:03:28,47000,44000
20130101 21:08:28,38000,37000
20130101 21:13:29,31000,43000
20130101 21:18:30,42000,51000
20130101 21:23:30,30000,50000
20130101 21:28:30,34000,35000
20130101 21:33:31,96000,34000
20130101 21:38:31,25000,28000
20130101 21:43:31,27000,34000
20130101 21:48:31,28000,37000
20130101 21:53:32,27000,33000
20130101 21:58:32,69000,74000
20130101 22:03:33,67000,106000
20130101 22:08:33,28000,91000
20130101 22:13:33,36000,45000
20130101 22:18:33,46000,49000
20130101 22:23:34,44000,57000
20130101 22:28:34,32000,39000
20130101 22:33:35,32000,41000
20130101 22:38:35,37000,36000
20130101 22:43:35,27000,37000
20130101 22:48:35,29000,38000
20130101 22:53:36,30000,31000
20130101 22:58:36,31000,41000
20130101 23:03:36,31000,40000
20130101 23:08:36,27000,42000
20130101 23:13:37,37000,47000
20130101 23:18:37,33000,43000
20130101 23:23:37,46000,56000
20130101 23:28:38,81000,94000
20130101 23:33:38,74000,120000
20130101 23:38:39,26000,79000
20130101 23:43:39,37000,42000
20130101 23:48:40,46000,51000
20130101 23:53:40,39000,33000
20130101 23:58:40,33000,38000
20130102 00:03:41,32000,43000
20130102 00:08:41,31000,43000
20130102 00:13:42,34000,49000
20130102 00:18:43,22000,25000
20130102 00:23:43,34000,39000
20130102 00:28:43,39000,54000
20130102 00:33:43,34000,28000
20130102 00:38:43,32000,38000
20130102 00:43:43,31000,36000
20130102 00:48:43,41000,37000
20130102 00:53:44,42000,40000
20130102 00:58:44,72000,94000
20130102 01:03:45,58000,115000
20130102 01:08:46,30000,70000
20130102 01:13:46,41000,53000
20130102 01:18:46,45000,47000
20130102 01:23:46,43000,47000
20130102 01:28:46,29000,39000
20130102 01:33:47,29000,36000
20130102 01:38:47,28000,28000
20130102 01:43:47,29000,36000
20130102 01:48:47,33000,45000
20130102 01:53:47,9483000,31000
20130102 01:58:48,2575000,37000
20130102 02:03:48,28000,41000
20130102 02:08:49,24000,42000
20130102 02:13:49,28000,39000
20130102 02:18:50,9130000,347000
20130102 02:23:50,132000,64000
20130102 02:28:51,68000,96000
20130102 02:33:52,53000,105000
20130102 02:38:52,20000,56000
20130102 02:43:53,33000,38000
20130102 02:48:54,45000,47000
20130102 02:53:54,35000,38000
20130102 02:58:54,25000,37000
20130102 03:03:54,22000,35000
20130102 03:08:54,27000,36000
20130102 03:13:55,32000,44000
20130102 03:18:55,32000,39000
20130102 03:23:55,36000,43000
20130102 03:28:56,33000,32000
20130102 03:33:57,34000,32000
20130102 03:38:58,26000,36000
20130102 03:43:59,41000,31000
20130102 03:48:59,25000,49000
20130102 03:53:59,60000,50000
20130102 03:58:59,66000,106000
20130102 04:03:59,25000,86000
20130102 04:08:59,25000,62000
20130102 04:13:59,36000,49000
20130102 04:18:59,44000,46000
20130102 04:24:00,37000,44000
20130102 04:28:59,25000,36000
20130102 04:34:00,23000,33000
20130102 04:39:01,28000,36000
20130102 04:44:01,31000,38000
20130102 04:49:01,29000,39000
20130102 04:54:01,22000,29000
20130102 04:59:02,35000,43000
20130102 05:04:02,30000,49000
20130102 05:09:02,28000,36000
20130102 05:14:02,29000,39000
20130102 05:19:02,28000,34000
20130102 05:24:02,65000,85000
20130102 05:29:03,63000,113000
20130102 05:34:03,30000,86000
20130102 05:39:04,35000,47000
20130102 05:44:09,30000,37000
20130102 05:49:09,46000,50000
20130102 05:54:09,35000,35000
20130102 05:59:10,27000,37000
20130102 06:04:10,25000,40000
20130102 06:09:10,22000,32000
20130102 06:14:10,21000,35000
20130102 06:19:11,29000,28000
20130102 06:24:11,27000,41000
20130102 06:29:11,28000,35000
20130102 06:34:11,28000,33000
20130102 06:39:11,32000,36000
20130102 06:44:12,29000,33000
20130102 06:49:12,24000,46000
20130102 06:54:13,62000,79000
20130102 06:59:13,65000,119000
20130102 07:04:14,24000,66000
20130102 07:09:13,34000,45000
20130102 07:14:14,45000,56000
20130102 07:19:14,48000,57000
20130102 07:24:14,54000,61000
20130102 07:29:14,47000,59000
20130102 07:34:14,67000,97000
20130102 07:39:15,229000,138000
20130102 07:44:16,245000,229000
20130102 07:49:16,381000,381000
20130102 07:54:17,357000,453000
20130102 07:59:17,859000,590000
20130102 08:04:17,1287000,736000
20130102 08:09:17,1238000,872000
20130102 08:14:17,1052000,903000
20130102 08:19:17,1154000,995000
20130102 08:24:17,916000,988000
20130102 08:29:18,1120000,1182000
